"cell","celltype","group","site","aneuploid"
"Cell871","macrophage","macrophage","ascites",FALSE
"Cell872","malignant","malignant_omental","omental",TRUE
"Cell873","macrophage","macrophage","omental",FALSE
"Cell874","macrophage","macrophage","omental",FALSE
"Cell875","endothelial","endothelial","ascites",FALSE
"Cell876","malignant","malignant_omental","omental",TRUE
"Cell877","macrophage","macrophage","ascites",FALSE
"Cell878","malignant","malignant_ascites","ascites",TRUE
"Cell879","malignant","malignant_ascites","ascites",TRUE
"Cell880","malignant","malignant_ascites","ascites",TRUE
"Cell881","malignant","malignant_ascites","ascites",TRUE
"Cell882","adipocyte","adipocyte","omental",FALSE
"Cell883","fibroblast","fibroblast","ascites",FALSE
"Cell884","malignant","malignant_omental","omental",TRUE
"Cell885","malignant","malignant_omental","omental",TRUE
"Cell886","malignant","malignant_ascites","ascites",TRUE
"Cell887","macrophage","macrophage","omental",FALSE
"Cell888","fibroblast","fibroblast","omental",FALSE
"Cell889","malignant","malignant_omental","omental",TRUE
"Cell890","malignant","malignant_omental","omental",TRUE
"Cell891","malignant","malignant_ascites","ascites",TRUE
"Cell892","malignant","malignant_omental","omental",TRUE
"Cell893","adipocyte","adipocyte","omental",FALSE
"Cell894","malignant","malignant_omental","omental",TRUE
"Cell895","fibroblast","fibroblast","omental",FALSE
"Cell896","malignant","malignant_ascites","ascites",TRUE
"Cell897","adipocyte","adipocyte","omental",FALSE
"Cell898","macrophage","macrophage","omental",FALSE
"Cell899","malignant","malignant_omental","omental",TRUE
"Cell900","fibroblast","fibroblast","ascites",FALSE
"Cell901","adipocyte","adipocyte","omental",FALSE
"Cell902","malignant","malignant_omental","omental",TRUE
"Cell903","macrophage","macrophage","ascites",FALSE
"Cell904","fibroblast","fibroblast","omental",FALSE
"Cell905","macrophage","macrophage","omental",FALSE
"Cell906","malignant","malignant_ascites","ascites",TRUE
"Cell907","macrophage","macrophage","ascites",FALSE
"Cell908","malignant","malignant_ascites","ascites",TRUE
"Cell909","fibroblast","fibroblast","ascites",FALSE
"Cell910","malignant","malignant_omental","omental",TRUE
"Cell911","macrophage","macrophage","omental",FALSE
"Cell912","endothelial","endothelial","omental",FALSE
"Cell913","adipocyte","adipocyte","omental",FALSE
"Cell914","fibroblast","fibroblast","ascites",FALSE
"Cell915","malignant","malignant_ascites","ascites",TRUE
"Cell916","malignant","malignant_omental","omental",TRUE
"Cell917","macrophage","macrophage","ascites",FALSE
"Cell918","Tcell","Tcell","ascites",FALSE
"Cell919","malignant","malignant_omental","omental",TRUE
"Cell920","malignant","malignant_ascites","ascites",TRUE
"Cell921","fibroblast","fibroblast","ascites",FALSE
"Cell922","macrophage","macrophage","omental",FALSE
"Cell923","endothelial","endothelial","omental",FALSE
"Cell924","endothelial","endothelial","ascites",FALSE
"Cell925","macrophage","macrophage","omental",FALSE
"Cell926","malignant","malignant_omental","omental",TRUE
"Cell927","malignant","malignant_ascites","ascites",TRUE
"Cell928","Tcell","Tcell","ascites",FALSE
"Cell929","malignant","malignant_ascites","ascites",TRUE
"Cell930","Tcell","Tcell","ascites",FALSE
"Cell931","macrophage","macrophage","omental",FALSE
"Cell932","macrophage","macrophage","ascites",FALSE
"Cell933","malignant","malignant_omental","omental",TRUE
"Cell934","macrophage","macrophage","ascites",FALSE
"Cell935","endothelial","endothelial","ascites",FALSE
"Cell936","malignant","malignant_ascites","ascites",TRUE
"Cell937","malignant","malignant_omental","omental",TRUE
"Cell938","macrophage","macrophage","ascites",FALSE
"Cell939","fibroblast","fibroblast","omental",FALSE
"Cell940","malignant","malignant_omental","omental",TRUE
"Cell941","malignant","malignant_ascites","ascites",TRUE
"Cell942","Tcell","Tcell","ascites",FALSE
"Cell943","fibroblast","fibroblast","omental",FALSE
"Cell944","adipocyte","adipocyte","omental",FALSE
"Cell945","fibroblast","fibroblast","omental",FALSE
"Cell946","fibroblast","fibroblast","ascites",FALSE
"Cell947","fibroblast","fibroblast","omental",FALSE
"Cell948","malignant","malignant_omental","omental",TRUE
"Cell949","fibroblast","fibroblast","ascites",FALSE
"Cell950","fibroblast","fibroblast","omental",FALSE
"Cell951","fibroblast","fibroblast","omental",FALSE
"Cell952","endothelial","endothelial","ascites",FALSE
"Cell953","malignant","malignant_omental","omental",TRUE
"Cell954","macrophage","macrophage","ascites",FALSE
"Cell955","malignant","malignant_ascites","ascites",TRUE
"Cell956","fibroblast","fibroblast","omental",FALSE
"Cell957","fibroblast","fibroblast","ascites",FALSE
"Cell958","malignant","malignant_ascites","ascites",TRUE
"Cell959","malignant","malignant_ascites","ascites",TRUE
"Cell960","malignant","malignant_omental","omental",TRUE
"Cell961","macrophage","macrophage","ascites",FALSE
"Cell962","malignant","malignant_ascites","ascites",TRUE
"Cell963","malignant","malignant_omental","omental",TRUE
"Cell964","malignant","malignant_omental","omental",TRUE
"Cell965","malignant","malignant_omental","omental",TRUE
"Cell966","malignant","malignant_omental","omental",TRUE
"Cell967","endothelial","endothelial","omental",FALSE
"Cell968","macrophage","macrophage","omental",FALSE
"Cell969","macrophage","macrophage","omental",FALSE
"Cell970","endothelial","endothelial","omental",FALSE
"Cell971","macrophage","macrophage","omental",FALSE
"Cell972","malignant","malignant_omental","omental",TRUE
"Cell973","fibroblast","fibroblast","ascites",FALSE
"Cell974","malignant","malignant_omental","omental",TRUE
"Cell975","adipocyte","adipocyte","omental",FALSE
"Cell976","fibroblast","fibroblast","ascites",FALSE
"Cell977","adipocyte","adipocyte","omental",FALSE
"Cell978","malignant","malignant_ascites","ascites",TRUE
"Cell979","macrophage","macrophage","ascites",FALSE
"Cell980","malignant","malignant_ascites","ascites",TRUE
"Cell981","fibroblast","fibroblast","ascites",FALSE
"Cell982","fibroblast","fibroblast","omental",FALSE
"Cell983","malignant","malignant_ascites","ascites",TRUE
"Cell984","malignant","malignant_omental","omental",TRUE
"Cell985","malignant","malignant_ascites","ascites",TRUE
"Cell986","fibroblast","fibroblast","omental",FALSE
"Cell987","fibroblast","fibroblast","omental",FALSE
"Cell988","fibroblast","fibroblast","omental",FALSE
"Cell989","fibroblast","fibroblast","omental",FALSE
"Cell990","Tcell","Tcell","ascites",FALSE
"Cell991","malignant","malignant_omental","omental",TRUE
"Cell992","macrophage","macrophage","omental",FALSE
"Cell993","fibroblast","fibroblast","omental",FALSE
"Cell994","fibroblast","fibroblast","omental",FALSE
"Cell995","Tcell","Tcell","omental",FALSE
"Cell996","fibroblast","fibroblast","omental",FALSE
"Cell997","malignant","malignant_ascites","ascites",TRUE
"Cell998","adipocyte","adipocyte","omental",FALSE
"Cell999","malignant","malignant_omental","omental",TRUE
"Cell1000","macrophage","macrophage","ascites",FALSE
"Cell1001","Tcell","Tcell","omental",FALSE
"Cell1002","adipocyte","adipocyte","omental",FALSE
"Cell1003","macrophage","macrophage","omental",FALSE
"Cell1004","malignant","malignant_ascites","ascites",TRUE
"Cell1005","fibroblast","fibroblast","ascites",FALSE
"Cell1006","macrophage","macrophage","ascites",FALSE
"Cell1007","malignant","malignant_omental","omental",TRUE
"Cell1008","malignant","malignant_omental","omental",TRUE
"Cell1009","malignant","malignant_ascites","ascites",TRUE
"Cell1010","malignant","malignant_omental","omental",TRUE
"Cell1011","fibroblast","fibroblast","omental",FALSE
"Cell1012","malignant","malignant_omental","omental",TRUE
"Cell1013","macrophage","macrophage","ascites",FALSE
"Cell1014","malignant","malignant_ascites","ascites",TRUE
"Cell1015","malignant","malignant_ascites","ascites",TRUE
"Cell1016","malignant","malignant_ascites","ascites",TRUE
"Cell1017","macrophage","macrophage","omental",FALSE
"Cell1018","macrophage","macrophage","omental",FALSE
"Cell1019","fibroblast","fibroblast","omental",FALSE
"Cell1020","Tcell","Tcell","ascites",FALSE
"Cell1021","malignant","malignant_ascites","ascites",TRUE
"Cell1022","fibroblast","fibroblast","omental",FALSE
"Cell1023","malignant","malignant_omental","omental",TRUE
"Cell1024","endothelial","endothelial","omental",FALSE
"Cell1025","adipocyte","adipocyte","omental",FALSE
"Cell1026","adipocyte","adipocyte","omental",FALSE
"Cell1027","macrophage","macrophage","omental",FALSE
"Cell1028","malignant","malignant_ascites","ascites",TRUE
"Cell1029","malignant","malignant_ascites","ascites",TRUE
"Cell1030","malignant","malignant_omental","omental",TRUE
"Cell1031","malignant","malignant_ascites","ascites",TRUE
"Cell1032","malignant","malignant_ascites","ascites",TRUE
"Cell1033","Tcell","Tcell","omental",FALSE
"Cell1034","malignant","malignant_ascites","ascites",TRUE
"Cell1035","endothelial","endothelial","omental",FALSE
"Cell1036","Tcell","Tcell","ascites",FALSE
"Cell1037","malignant","malignant_omental","omental",TRUE
"Cell1038","malignant","malignant_ascites","ascites",TRUE
"Cell1039","malignant","malignant_ascites","ascites",TRUE
"Cell1040","macrophage","macrophage","ascites",FALSE
"Cell1041","malignant","malignant_ascites","ascites",TRUE
"Cell1042","macrophage","macrophage","omental",FALSE
"Cell1043","fibroblast","fibroblast","omental",FALSE
"Cell1044","malignant","malignant_omental","omental",TRUE
"Cell1045","macrophage","macrophage","ascites",FALSE
"Cell1046","Tcell","Tcell","ascites",FALSE
"Cell1047","macrophage","macrophage","ascites",FALSE
"Cell1048","macrophage","macrophage","ascites",FALSE
"Cell1049","malignant","malignant_omental","omental",TRUE
"Cell1050","malignant","malignant_ascites","ascites",TRUE
"Cell1051","malignant","malignant_omental","omental",TRUE
"Cell1052","fibroblast","fibroblast","ascites",FALSE
"Cell1053","macrophage","macrophage","ascites",FALSE
"Cell1054","malignant","malignant_ascites","ascites",TRUE
"Cell1055","Tcell","Tcell","ascites",FALSE
"Cell1056","fibroblast","fibroblast","ascites",FALSE
"Cell1057","malignant","malignant_omental","omental",TRUE
"Cell1058","fibroblast","fibroblast","omental",FALSE
"Cell1059","adipocyte","adipocyte","omental",FALSE
"Cell1060","fibroblast","fibroblast","omental",FALSE
"Cell1061","macrophage","macrophage","omental",FALSE
"Cell1062","malignant","malignant_omental","omental",TRUE
"Cell1063","macrophage","macrophage","ascites",FALSE
"Cell1064","malignant","malignant_omental","omental",TRUE
"Cell1065","macrophage","macrophage","omental",FALSE
"Cell1066","malignant","malignant_omental","omental",TRUE
"Cell1067","Tcell","Tcell","omental",FALSE
"Cell1068","endothelial","endothelial","omental",FALSE
"Cell1069","malignant","malignant_omental","omental",TRUE
"Cell1070","adipocyte","adipocyte","omental",FALSE
"Cell1071","adipocyte","adipocyte","omental",FALSE
"Cell1072","endothelial","endothelial","omental",FALSE
"Cell1073","malignant","malignant_ascites","ascites",TRUE
"Cell1074","malignant","malignant_omental","omental",TRUE
"Cell1075","fibroblast","fibroblast","ascites",FALSE
"Cell1076","malignant","malignant_omental","omental",TRUE
"Cell1077","malignant","malignant_ascites","ascites",TRUE
"Cell1078","fibroblast","fibroblast","ascites",FALSE
"Cell1079","malignant","malignant_omental","omental",TRUE
"Cell1080","malignant","malignant_ascites","ascites",TRUE
"Cell1081","fibroblast","fibroblast","omental",FALSE
"Cell1082","fibroblast","fibroblast","omental",FALSE
"Cell1083","endothelial","endothelial","ascites",FALSE
"Cell1084","endothelial","endothelial","ascites",FALSE
"Cell1085","endothelial","endothelial","ascites",FALSE
"Cell1086","endothelial","endothelial","ascites",FALSE
"Cell1087","macrophage","macrophage","ascites",FALSE
"Cell1088","endothelial","endothelial","ascites",FALSE
"Cell1089","malignant","malignant_omental","omental",TRUE
"Cell1090","endothelial","endothelial","omental",FALSE
"Cell1091","malignant","malignant_omental","omental",TRUE
"Cell1092","fibroblast","fibroblast","omental",FALSE
"Cell1093","fibroblast","fibroblast","omental",FALSE
"Cell1094","malignant","malignant_ascites","ascites",TRUE
"Cell1095","malignant","malignant_omental","omental",TRUE
"Cell1096","endothelial","endothelial","ascites",FALSE
"Cell1097","macrophage","macrophage","ascites",FALSE
"Cell1098","malignant","malignant_omental","omental",TRUE
"Cell1099","malignant","malignant_ascites","ascites",TRUE
"Cell1100","malignant","malignant_omental","omental",TRUE
"Cell1101","fibroblast","fibroblast","omental",FALSE
"Cell1102","malignant","malignant_ascites","ascites",TRUE
"Cell1103","malignant","malignant_ascites","ascites",TRUE
"Cell1104","malignant","malignant_omental","omental",TRUE
"Cell1105","fibroblast","fibroblast","omental",FALSE
"Cell1106","fibroblast","fibroblast","ascites",FALSE
"Cell1107","malignant","malignant_omental","omental",TRUE
"Cell1108","macrophage","macrophage","omental",FALSE
"Cell1109","malignant","malignant_ascites","ascites",TRUE
"Cell1110","malignant","malignant_ascites","ascites",TRUE
"Cell1111","malignant","malignant_omental","omental",TRUE
"Cell1112","malignant","malignant_ascites","ascites",TRUE
"Cell1113","malignant","malignant_omental","omental",TRUE
"Cell1114","malignant","malignant_ascites","ascites",TRUE
"Cell1115","fibroblast","fibroblast","omental",FALSE
"Cell1116","fibroblast","fibroblast","omental",FALSE
"Cell1117","Tcell","Tcell","ascites",FALSE
"Cell1118","adipocyte","adipocyte","omental",FALSE
"Cell1119","malignant","malignant_omental","omental",TRUE
"Cell1120","malignant","malignant_omental","omental",TRUE
"Cell1121","fibroblast","fibroblast","ascites",FALSE
"Cell1122","malignant","malignant_ascites","ascites",TRUE
"Cell1123","malignant","malignant_ascites","ascites",TRUE
"Cell1124","adipocyte","adipocyte","omental",FALSE
"Cell1125","macrophage","macrophage","omental",FALSE
"Cell1126","endothelial","endothelial","omental",FALSE
"Cell1127","malignant","malignant_omental","omental",TRUE
"Cell1128","fibroblast","fibroblast","omental",FALSE
"Cell1129","malignant","malignant_ascites","ascites",TRUE
"Cell1130","malignant","malignant_ascites","ascites",TRUE
"Cell1131","malignant","malignant_ascites","ascites",TRUE
"Cell1132","malignant","malignant_omental","omental",TRUE
"Cell1133","adipocyte","adipocyte","omental",FALSE
"Cell1134","Tcell","Tcell","ascites",FALSE
"Cell1135","macrophage","macrophage","omental",FALSE
"Cell1136","Tcell","Tcell","omental",FALSE
"Cell1137","Tcell","Tcell","ascites",FALSE
"Cell1138","malignant","malignant_ascites","ascites",TRUE
"Cell1139","macrophage","macrophage","ascites",FALSE
"Cell1140","fibroblast","fibroblast","omental",FALSE
"Cell1141","Tcell","Tcell","ascites",FALSE
"Cell1142","endothelial","endothelial","ascites",FALSE
"Cell1143","macrophage","macrophage","ascites",FALSE
"Cell1144","malignant","malignant_omental","omental",TRUE
"Cell1145","Tcell","Tcell","ascites",FALSE
"Cell1146","malignant","malignant_ascites","ascites",TRUE
"Cell1147","Tcell","Tcell","omental",FALSE
"Cell1148","malignant","malignant_omental","omental",TRUE
"Cell1149","macrophage","macrophage","omental",FALSE
"Cell1150","fibroblast","fibroblast","omental",FALSE
"Cell1151","malignant","malignant_omental","omental",TRUE
"Cell1152","fibroblast","fibroblast","omental",FALSE
"Cell1153","malignant","malignant_omental","omental",TRUE
"Cell1154","fibroblast","fibroblast","omental",FALSE
"Cell1155","fibroblast","fibroblast","omental",FALSE
"Cell1156","Tcell","Tcell","ascites",FALSE
"Cell1157","malignant","malignant_ascites","ascites",TRUE
"Cell1158","Tcell","Tcell","omental",FALSE
"Cell1159","Tcell","Tcell","ascites",FALSE
"Cell1160","malignant","malignant_ascites","ascites",TRUE
"Cell1161","Tcell","Tcell","omental",FALSE
"Cell1162","adipocyte","adipocyte","omental",FALSE
"Cell1163","adipocyte","adipocyte","omental",FALSE
"Cell1164","fibroblast","fibroblast","ascites",FALSE
"Cell1165","endothelial","endothelial","ascites",FALSE
"Cell1166","macrophage","macrophage","omental",FALSE
"Cell1167","malignant","malignant_omental","omental",TRUE
"Cell1168","malignant","malignant_omental","omental",TRUE
"Cell1169","malignant","malignant_ascites","ascites",TRUE
"Cell1170","fibroblast","fibroblast","omental",FALSE
"Cell1171","adipocyte","adipocyte","omental",FALSE
"Cell1172","Tcell","Tcell","omental",FALSE
"Cell1173","fibroblast","fibroblast","ascites",FALSE
"Cell1174","malignant","malignant_omental","omental",TRUE
"Cell1175","fibroblast","fibroblast","ascites",FALSE
"Cell1176","malignant","malignant_ascites","ascites",TRUE
"Cell1177","endothelial","endothelial","ascites",FALSE
"Cell1178","Tcell","Tcell","ascites",FALSE
"Cell1179","malignant","malignant_ascites","ascites",TRUE
"Cell1180","Tcell","Tcell","omental",FALSE
"Cell1181","Tcell","Tcell","omental",FALSE
"Cell1182","fibroblast","fibroblast","ascites",FALSE
"Cell1183","fibroblast","fibroblast","omental",FALSE
"Cell1184","malignant","malignant_ascites","ascites",TRUE
"Cell1185","malignant","malignant_omental","omental",TRUE
"Cell1186","adipocyte","adipocyte","omental",FALSE
"Cell1187","malignant","malignant_ascites","ascites",TRUE
"Cell1188","macrophage","macrophage","ascites",FALSE
"Cell1189","fibroblast","fibroblast","omental",FALSE
"Cell1190","malignant","malignant_omental","omental",TRUE
"Cell1191","malignant","malignant_omental","omental",TRUE
"Cell1192","Tcell","Tcell","omental",FALSE
"Cell1193","malignant","malignant_omental","omental",TRUE
"Cell1194","fibroblast","fibroblast","omental",FALSE
"Cell1195","endothelial","endothelial","omental",FALSE
"Cell1196","fibroblast","fibroblast","omental",FALSE
"Cell1197","fibroblast","fibroblast","omental",FALSE
"Cell1198","macrophage","macrophage","omental",FALSE
"Cell1199","malignant","malignant_omental","omental",TRUE
"Cell1200","Tcell","Tcell","omental",FALSE
"Cell1201","malignant","malignant_ascites","ascites",TRUE
"Cell1202","fibroblast","fibroblast","omental",FALSE
"Cell1203","fibroblast","fibroblast","ascites",FALSE
"Cell1204","macrophage","macrophage","ascites",FALSE
"Cell1205","Tcell","Tcell","omental",FALSE
"Cell1206","fibroblast","fibroblast","ascites",FALSE
"Cell1207","malignant","malignant_omental","omental",TRUE
"Cell1208","adipocyte","adipocyte","omental",FALSE
"Cell1209","malignant","malignant_ascites","ascites",TRUE
"Cell1210","malignant","malignant_ascites","ascites",TRUE
"Cell1211","malignant","malignant_omental","omental",TRUE
"Cell1212","fibroblast","fibroblast","omental",FALSE
"Cell1213","malignant","malignant_ascites","ascites",TRUE
"Cell1214","adipocyte","adipocyte","omental",FALSE
"Cell1215","endothelial","endothelial","ascites",FALSE
"Cell1216","malignant","malignant_ascites","ascites",TRUE
"Cell1217","malignant","malignant_ascites","ascites",TRUE
"Cell1218","malignant","malignant_omental","omental",TRUE
"Cell1219","Tcell","Tcell","omental",FALSE
"Cell1220","macrophage","macrophage","omental",FALSE
"Cell1221","malignant","malignant_omental","omental",TRUE
"Cell1222","fibroblast","fibroblast","omental",FALSE
"Cell1223","fibroblast","fibroblast","omental",FALSE
"Cell1224","malignant","malignant_ascites","ascites",TRUE
"Cell1225","Tcell","Tcell","ascites",FALSE
"Cell1226","malignant","malignant_ascites","ascites",TRUE
"Cell1227","Tcell","Tcell","ascites",FALSE
"Cell1228","malignant","malignant_ascites","ascites",TRUE
"Cell1229","malignant","malignant_omental","omental",TRUE
"Cell1230","malignant","malignant_ascites","ascites",TRUE
"Cell1231","malignant","malignant_omental","omental",TRUE
"Cell1232","adipocyte","adipocyte","omental",FALSE
"Cell1233","malignant","malignant_ascites","ascites",TRUE
"Cell1234","macrophage","macrophage","ascites",FALSE
"Cell1235","malignant","malignant_ascites","ascites",TRUE
"Cell1236","adipocyte","adipocyte","omental",FALSE
"Cell1237","macrophage","macrophage","ascites",FALSE
"Cell1238","malignant","malignant_ascites","ascites",TRUE
"Cell1239","fibroblast","fibroblast","omental",FALSE
"Cell1240","adipocyte","adipocyte","omental",FALSE
"Cell1241","macrophage","macrophage","ascites",FALSE
"Cell1242","macrophage","macrophage","omental",FALSE
"Cell1243","fibroblast","fibroblast","omental",FALSE
"Cell1244","macrophage","macrophage","omental",FALSE
"Cell1245","malignant","malignant_ascites","ascites",TRUE
"Cell1246","macrophage","macrophage","ascites",FALSE
"Cell1247","malignant","malignant_omental","omental",TRUE
"Cell1248","Tcell","Tcell","ascites",FALSE
"Cell1249","macrophage","macrophage","ascites",FALSE
"Cell1250","fibroblast","fibroblast","omental",FALSE
"Cell1251","fibroblast","fibroblast","omental",FALSE
"Cell1252","fibroblast","fibroblast","ascites",FALSE
"Cell1253","macrophage","macrophage","ascites",FALSE
"Cell1254","fibroblast","fibroblast","omental",FALSE
"Cell1255","Tcell","Tcell","ascites",FALSE
"Cell1256","malignant","malignant_omental","omental",TRUE
"Cell1257","macrophage","macrophage","ascites",FALSE
"Cell1258","malignant","malignant_ascites","ascites",TRUE
"Cell1259","adipocyte","adipocyte","omental",FALSE
"Cell1260","malignant","malignant_ascites","ascites",TRUE
"Cell1261","fibroblast","fibroblast","omental",FALSE
"Cell1262","malignant","malignant_omental","omental",TRUE
"Cell1263","Tcell","Tcell","ascites",FALSE
"Cell1264","fibroblast","fibroblast","ascites",FALSE
"Cell1265","fibroblast","fibroblast","ascites",FALSE
"Cell1266","macrophage","macrophage","omental",FALSE
"Cell1267","malignant","malignant_omental","omental",TRUE
"Cell1268","macrophage","macrophage","ascites",FALSE
"Cell1269","fibroblast","fibroblast","ascites",FALSE
"Cell1270","fibroblast","fibroblast","omental",FALSE
"Cell1271","fibroblast","fibroblast","omental",FALSE
"Cell1272","malignant","malignant_ascites","ascites",TRUE
"Cell1273","malignant","malignant_ascites","ascites",TRUE
"Cell1274","malignant","malignant_omental","omental",TRUE
"Cell1275","malignant","malignant_omental","omental",TRUE
"Cell1276","Tcell","Tcell","omental",FALSE
"Cell1277","malignant","malignant_ascites","ascites",TRUE
"Cell1278","malignant","malignant_ascites","ascites",TRUE
"Cell1279","malignant","malignant_omental","omental",TRUE
"Cell1280","malignant","malignant_ascites","ascites",TRUE
"Cell1281","Tcell","Tcell","ascites",FALSE
"Cell1282","malignant","malignant_ascites","ascites",TRUE
"Cell1283","malignant","malignant_omental","omental",TRUE
"Cell1284","malignant","malignant_omental","omental",TRUE
"Cell1285","endothelial","endothelial","omental",FALSE
"Cell1286","malignant","malignant_ascites","ascites",TRUE
"Cell1287","macrophage","macrophage","omental",FALSE
"Cell1288","fibroblast","fibroblast","omental",FALSE
"Cell1289","malignant","malignant_omental","omental",TRUE
"Cell1290","malignant","malignant_ascites","ascites",TRUE
"Cell1291","fibroblast","fibroblast","ascites",FALSE
"Cell1292","malignant","malignant_omental","omental",TRUE
"Cell1293","adipocyte","adipocyte","omental",FALSE
"Cell1294","malignant","malignant_ascites","ascites",TRUE
"Cell1295","macrophage","macrophage","omental",FALSE
"Cell1296","malignant","malignant_omental","omental",TRUE
"Cell1297","macrophage","macrophage","ascites",FALSE
"Cell1298","fibroblast","fibroblast","ascites",FALSE
"Cell1299","macrophage","macrophage","omental",FALSE
"Cell1300","fibroblast","fibroblast","ascites",FALSE
"Cell1301","endothelial","endothelial","ascites",FALSE
"Cell1302","Tcell","Tcell","ascites",FALSE
"Cell1303","malignant","malignant_omental","omental",TRUE
"Cell1304","malignant","malignant_omental","omental",TRUE
"Cell1305","fibroblast","fibroblast","omental",FALSE
"Cell1306","malignant","malignant_ascites","ascites",TRUE
"Cell1307","fibroblast","fibroblast","ascites",FALSE
"Cell1308","Tcell","Tcell","ascites",FALSE
"Cell1309","macrophage","macrophage","ascites",FALSE
"Cell1310","malignant","malignant_omental","omental",TRUE
"Cell1311","macrophage","macrophage","omental",FALSE
"Cell1312","malignant","malignant_ascites","ascites",TRUE
"Cell1313","Tcell","Tcell","omental",FALSE
"Cell1314","endothelial","endothelial","omental",FALSE
"Cell1315","adipocyte","adipocyte","omental",FALSE
"Cell1316","malignant","malignant_omental","omental",TRUE
"Cell1317","fibroblast","fibroblast","omental",FALSE
"Cell1318","adipocyte","adipocyte","omental",FALSE
"Cell1319","malignant","malignant_ascites","ascites",TRUE
"Cell1320","malignant","malignant_omental","omental",TRUE
"Cell1321","adipocyte","adipocyte","omental",FALSE
"Cell1322","malignant","malignant_omental","omental",TRUE
"Cell1323","malignant","malignant_ascites","ascites",TRUE
"Cell1324","endothelial","endothelial","ascites",FALSE
"Cell1325","malignant","malignant_omental","omental",TRUE
"Cell1326","endothelial","endothelial","omental",FALSE
"Cell1327","endothelial","endothelial","omental",FALSE
"Cell1328","endothelial","endothelial","omental",FALSE
"Cell1329","fibroblast","fibroblast","ascites",FALSE
"Cell1330","endothelial","endothelial","omental",FALSE
"Cell1331","malignant","malignant_omental","omental",TRUE
"Cell1332","endothelial","endothelial","omental",FALSE
"Cell1333","macrophage","macrophage","ascites",FALSE
"Cell1334","malignant","malignant_omental","omental",TRUE
"Cell1335","endothelial","endothelial","omental",FALSE
"Cell1336","fibroblast","fibroblast","omental",FALSE
"Cell1337","malignant","malignant_omental","omental",TRUE
"Cell1338","malignant","malignant_omental","omental",TRUE
"Cell1339","fibroblast","fibroblast","omental",FALSE
"Cell1340","malignant","malignant_omental","omental",TRUE
"Cell1341","fibroblast","fibroblast","omental",FALSE
"Cell1342","macrophage","macrophage","ascites",FALSE
"Cell1343","malignant","malignant_omental","omental",TRUE
"Cell1344","Tcell","Tcell","omental",FALSE
"Cell1345","malignant","malignant_omental","omental",TRUE
"Cell1346","malignant","malignant_omental","omental",TRUE
"Cell1347","malignant","malignant_ascites","ascites",TRUE
"Cell1348","malignant","malignant_ascites","ascites",TRUE
"Cell1349","macrophage","macrophage","omental",FALSE
"Cell1350","malignant","malignant_omental","omental",TRUE
"Cell1351","malignant","malignant_ascites","ascites",TRUE
"Cell1352","malignant","malignant_omental","omental",TRUE
"Cell1353","Tcell","Tcell","omental",FALSE
"Cell1354","malignant","malignant_omental","omental",TRUE
"Cell1355","adipocyte","adipocyte","omental",FALSE
"Cell1356","fibroblast","fibroblast","omental",FALSE
"Cell1357","malignant","malignant_omental","omental",TRUE
"Cell1358","malignant","malignant_omental","omental",TRUE
"Cell1359","Tcell","Tcell","ascites",FALSE
"Cell1360","malignant","malignant_omental","omental",TRUE
"Cell1361","malignant","malignant_ascites","ascites",TRUE
"Cell1362","malignant","malignant_omental","omental",TRUE
"Cell1363","malignant","malignant_ascites","ascites",TRUE
"Cell1364","fibroblast","fibroblast","omental",FALSE
"Cell1365","malignant","malignant_ascites","ascites",TRUE
"Cell1366","macrophage","macrophage","ascites",FALSE
"Cell1367","malignant","malignant_omental","omental",TRUE
"Cell1368","macrophage","macrophage","omental",FALSE
"Cell1369","malignant","malignant_omental","omental",TRUE
"Cell1370","macrophage","macrophage","omental",FALSE
"Cell1371","malignant","malignant_ascites","ascites",TRUE
"Cell1372","fibroblast","fibroblast","omental",FALSE
"Cell1373","malignant","malignant_ascites","ascites",TRUE
"Cell1374","fibroblast","fibroblast","omental",FALSE
"Cell1375","malignant","malignant_omental","omental",TRUE
"Cell1376","malignant","malignant_ascites","ascites",TRUE
"Cell1377","endothelial","endothelial","ascites",FALSE
"Cell1378","malignant","malignant_ascites","ascites",TRUE
"Cell1379","malignant","malignant_ascites","ascites",TRUE
"Cell1380","fibroblast","fibroblast","ascites",FALSE
"Cell1381","malignant","malignant_omental","omental",TRUE
"Cell1382","malignant","malignant_ascites","ascites",TRUE
"Cell1383","malignant","malignant_ascites","ascites",TRUE
"Cell1384","malignant","malignant_ascites","ascites",TRUE
"Cell1385","adipocyte","adipocyte","omental",FALSE
"Cell1386","endothelial","endothelial","omental",FALSE
"Cell1387","endothelial","endothelial","ascites",FALSE
"Cell1388","adipocyte","adipocyte","omental",FALSE
"Cell1389","malignant","malignant_omental","omental",TRUE
"Cell1390","endothelial","endothelial","ascites",FALSE
"Cell1391","macrophage","macrophage","omental",FALSE
"Cell1392","Tcell","Tcell","ascites",FALSE
"Cell1393","adipocyte","adipocyte","omental",FALSE
"Cell1394","malignant","malignant_ascites","ascites",TRUE
"Cell1395","Tcell","Tcell","ascites",FALSE
"Cell1396","malignant","malignant_omental","omental",TRUE
"Cell1397","malignant","malignant_omental","omental",TRUE
"Cell1398","fibroblast","fibroblast","omental",FALSE
"Cell1399","malignant","malignant_ascites","ascites",TRUE
"Cell1400","malignant","malignant_omental","omental",TRUE
